f_mean,f_o5,f_sum,f_u1,f_u2,f_u5,m_mean,m_o5,m_sum,m_u1,m_u2,m_u5,t_mean,t_o5,t_sum,t_u1,t_u2,t_u5,state,name,ags,f_o5_rel
834,2302,19699,8174,3898,5325,692,1223,14122,6703,3085,3111,775,3525,33821,14877,6983,8436,05,Bielefeld,05711,11.685872379308595
929,2594,18469,7084,3399,5392,750,1322,12907,5875,2615,3095,855,3916,31376,12959,6014,8487,05,Bochum,05911,14.04515674914722
879,2588,20145,8105,3967,5485,787,1640,14519,6472,2853,3554,840,4228,34664,14577,6820,9039,05,Bonn,05314,12.84686026309258
1050,935,5689,1797,1068,1889,859,490,3747,1481,731,1045,974,1425,9436,3278,1799,2934,05,Bottrop,05512,16.435225874494638
885,5363,40959,16411,7981,11204,784,3226,28889,12933,5583,7147,843,8589,69848,29344,13564,18351,05,Düsseldorf,05111,13.093581386264313
902,3879,30263,11560,6114,8710,765,2334,20892,9871,3980,4707,846,6213,51155,21431,10094,13417,05,Dortmund,05913,12.817632091993522
979,3028,20617,7193,3855,6541,810,1695,14141,6295,2610,3541,910,4723,34758,13488,6465,10082,05,Duisburg,05112,14.686908861619052
922,4246,31846,11848,6111,9641,778,2399,22044,9868,4258,5519,863,6645,53890,21716,10369,15160,05,Essen,05113,13.332914651761602
976,1932,12975,4658,2467,3918,813,1117,9582,4126,1914,2425,907,3049,22557,8784,4381,6343,05,Gelsenkirchen,05513,14.890173410404625
973,1535,9986,3491,2028,2932,836,826,6808,2701,1405,1876,917,2361,16794,6192,3433,4808,05,Hagen,05914,15.37152012817945
989,1282,8922,3035,1612,2993,850,670,6281,2470,1192,1949,931,1952,15203,5505,2804,4942,05,Hamm,05915,14.368975566016587
1106,1080,5743,1831,1090,1742,864,547,4021,1555,887,1032,1006,1627,9764,3386,1977,2774,05,Herne,05916,18.805502350687796
1007,1827,11510,4062,2176,3445,901,1074,7590,3094,1392,2030,965,2901,19100,7156,3568,5475,05,Krefeld,05114,15.873153779322328
844,7515,61128,25803,11839,15971,736,4579,44928,21157,8706,10486,798,12094,106056,46960,20545,26457,05,Köln,05315,12.293875147232038
988,1103,7105,2543,1319,2140,851,556,4356,1934,753,1113,936,1659,11461,4477,2072,3253,05,Leverkusen,05316,15.524278676988038
1061,4702,27861,8674,5331,9154,862,2177,17482,6879,3639,4787,984,6879,45343,15553,8970,13941,05,Borken,05554,16.87663759376907
1051,2133,12386,4088,2425,3740,877,958,7452,2990,1469,2035,986,3091,19838,7078,3894,5775,05,Coesfeld,05558,17.221056031002746
1024,2387,15675,5037,2985,5266,882,1228,9269,3739,1721,2581,972,3615,24944,8776,4706,7847,05,Düren,05358,15.228070175438596
1029,2508,15254,5172,2904,4670,883,1261,9281,3754,1771,2495,974,3769,24535,8926,4675,7165,05,Ennepe-Ruhr-Kreis,05954,16.441589091385865
1022,1519,10354,3285,1932,3618,895,801,6141,2394,1148,1798,974,2320,16495,5679,3080,5416,05,Euskirchen,05366,14.67065868263473
958,3125,22634,7771,4433,7305,802,1470,14172,5885,2856,3961,898,4595,36806,13656,7289,11266,05,Gütersloh,05754,13.806662543076786
1018,2309,14208,4748,2680,4471,896,1183,8358,3278,1599,2298,973,3492,22566,8026,4279,6769,05,Heinsberg,05370,16.25140765765766
984,1766,11886,4172,2258,3690,814,895,7822,3346,1572,2009,917,2661,19708,7518,3830,5699,05,Herford,05758,14.857815917886589
997,2867,18835,6990,3286,5692,852,1384,11207,4713,2158,2952,943,4251,30042,11703,5444,8644,05,Hochsauerlandkreis,05958,15.22166179984072
1068,1342,7841,2640,1328,2531,885,516,3934,1638,729,1051,1007,1858,11775,4278,2057,3582,05,Höxter,05762,17.115163882157887
1036,2983,18798,6115,3524,6176,900,1571,11625,4591,2205,3258,984,4554,30423,10706,5729,9434,05,Kleve,05154,15.868709437174166
987,2437,15886,5715,2860,4874,771,1092,10113,4840,1723,2458,903,3529,25999,10555,4583,7332,05,Lippe,05766,15.340551428931134
983,3517,23760,8331,4594,7318,828,1666,14399,6053,2907,3773,925,5183,38159,14384,7501,11091,05,Märkischer Kreis,05962,14.802188552188552
1021,3638,22645,7720,4095,7192,871,2118,15981,6578,2980,4305,959,5756,38626,14298,7075,11497,05,Mettmann,05158,16.065356590858908
946,2282,16232,5756,3219,4975,789,1071,9664,4157,2021,2415,887,3353,25896,9913,5240,7390,05,Minden-Lübbecke,05770,14.05864958107442
1011,2576,16614,5553,3169,5316,876,1319,10192,4047,1995,2831,959,3895,26806,9600,5164,8147,05,Oberbergischer Kreis,05374,15.504995786685926
1091,1508,9165,2693,1734,3230,933,726,5237,2067,956,1488,1034,2234,14402,4760,2690,4718,05,Olpe,05966,16.453900709219855
978,2706,18918,6651,3546,6015,790,1307,12268,5394,2460,3107,904,4013,31186,12045,6006,9122,05,Paderborn,05774,14.303837614969868
1076,4952,29438,9282,5357,9847,944,2809,18978,7182,3487,5500,1024,7761,48416,16464,8844,15347,05,Recklinghausen,05562,16.821794958896664
959,3553,24147,8539,4629,7426,811,1882,15910,6691,3466,3871,900,5435,40057,15230,8095,11297,05,Rhein-Erft-Kreis,05362,14.714043152358473
1022,3289,20487,6966,3712,6520,875,1691,12978,5199,2516,3572,965,4980,33465,12165,6228,10092,05,Rhein-Kreis Neuss,05162,16.054083077073265
927,4262,30461,11374,5996,8829,804,2352,19840,8727,3953,4808,878,6614,50301,20101,9949,13637,05,Rhein-Sieg-Kreis,05382,13.991661468763336
1024,2349,14224,4773,2767,4335,849,1140,9341,3779,1783,2639,954,3489,23565,8552,4550,6974,05,Rheinisch-Bergischer Kreis,05378,16.514341957255343
963,2528,18519,6300,3633,6058,803,1209,11012,4611,2173,3019,903,3737,29531,10911,5806,9077,05,Siegen-Wittgenstein,05970,13.65084507802797
1000,2671,17835,5906,3335,5923,849,1239,10600,4325,2033,3003,944,3910,28435,10231,5368,8926,05,Soest,05974,14.976170451359685
1020,4311,27839,9188,5205,9135,862,2265,18646,7447,3654,5280,957,6576,46485,16635,8859,14415,05,Steinfurt,05566,15.485470024066956
1039,3196,18943,6132,3555,6060,887,1743,12538,4928,2275,3592,979,4939,31481,11060,5830,9652,05,Unna,05978,16.871667634482396
1041,2620,15590,5027,2948,4995,882,1355,10055,4072,1818,2810,978,3975,25645,9099,4766,7805,05,Viersen,05166,16.805644644002566
1058,2629,15542,4838,2945,5130,891,1347,9937,3801,1937,2852,993,3976,25479,8639,4882,7982,05,Warendorf,05570,16.915454896409727
1003,3978,26412,8812,4867,8755,868,2019,16139,6377,3106,4637,952,5997,42551,15189,7973,13392,05,Wesel,05170,15.061335756474332
1025,1308,8097,2754,1494,2541,899,752,5480,2165,1077,1486,974,2060,13577,4919,2571,4027,05,Mülheim an der Ruhr,05117,16.154131159688774
808,2493,21353,9315,4149,5396,711,1444,14882,7195,2918,3325,768,3937,36235,16510,7067,8721,05,Münster,05515,11.675174448555238
922,2318,16323,6535,3020,4450,798,1177,9971,4586,1850,2358,875,3495,26294,11121,4870,6808,05,Mönchengladbach,05116,14.200820927525578
933,1551,11833,4092,2712,3478,800,755,6878,2825,1522,1776,884,2306,18711,6917,4234,5254,05,Oberhausen,05119,13.107411476379616
1018,979,6655,2223,1235,2218,875,515,4040,1602,793,1130,964,1494,10695,3825,2028,3348,05,Remscheid,05120,14.710743801652892
1033,1238,7440,2575,1386,2241,877,701,5215,2148,1005,1361,969,1939,12655,4723,2391,3602,05,Solingen,05122,16.63978494623656
921,4506,32250,12602,5924,9218,734,2597,26158,12396,5112,6053,837,7103,58408,24998,11036,15271,05,Städteregion Aachen,05334,13.972093023255812
953,2631,18176,6457,3591,5497,822,1490,12675,5360,2485,3340,900,4121,30851,11817,6076,8837,05,Wuppertal,05124,14.475132042253522
864,473,3824,1477,766,1108,751,333,3412,1484,689,906,811,806,7236,2961,1455,2014,12,Barnim,12060,12.369246861924687
824,210,1746,632,423,481,796,201,1692,652,386,453,810,411,3438,1284,809,934,12,Brandenburg an der Havel,12051,12.027491408934708
819,610,4475,1978,931,956,722,431,3951,1897,787,836,774,1041,8426,3875,1718,1792,12,Cottbus,12052,13.631284916201118
783,246,2229,960,489,534,713,161,1784,792,397,434,752,407,4013,1752,886,968,12,Frankfurt (Oder),12053,11.036339165545089
851,472,3568,1426,775,895,778,364,3203,1468,645,726,816,836,6771,2894,1420,1621,12,Dahme-Spreewald,12061,13.228699551569505
1038,474,2592,832,468,818,913,280,1768,683,328,477,987,754,4360,1515,796,1295,12,Elbe-Elster,12062,18.287037037037038
871,499,3654,1439,693,1023,859,415,2965,1248,548,754,866,914,6619,2687,1241,1777,12,Havelland,12063,13.656267104542966
920,553,3972,1467,769,1183,761,379,3458,1549,656,874,846,932,7430,3016,1425,2057,12,Märkisch-Oderland,12064,13.92245720040282
887,636,4544,1727,955,1226,765,426,4079,1727,849,1077,829,1062,8623,3454,1804,2303,12,Oberhavel,12065,13.996478873239438
945,412,2796,966,572,846,837,249,1865,774,365,477,902,661,4661,1740,937,1323,12,Oberspreewald-Lausitz,12066,14.735336194563661
894,479,3687,1317,763,1128,787,315,3221,1294,680,932,844,794,6908,2611,1443,2060,12,Oder-Spree,12067,12.991592080282071
862,299,2159,826,486,548,775,183,1729,702,384,460,823,482,3888,1528,870,1008,12,Ostprignitz-Ruppin,12068,13.849004168596574
743,615,8031,3304,1674,2438,749,470,4735,2158,886,1221,745,1085,12766,5462,2560,3659,12,Potsdam-Mittelmark,12069,7.657825924542398
940,295,1946,711,365,575,857,200,1562,605,296,461,903,495,3508,1316,661,1036,12,Prignitz,12070,15.159301130524153
998,439,2508,881,464,724,876,233,1765,697,338,497,948,672,4273,1578,802,1221,12,Spree-Neiße,12071,17.503987240829346
934,496,3323,1219,648,960,815,363,3108,1266,637,842,877,859,6431,2485,1285,1802,12,Teltow-Fläming,12072,14.926271441468552
649,437,6277,2971,1366,1503,644,334,5142,2401,1063,1344,647,771,11419,5372,2429,2847,12,Potsdam,12054,6.961924486219531
878,406,2875,1140,575,754,804,269,2132,924,423,516,846,675,5007,2064,998,1270,12,Uckermark,12073,14.121739130434783
